Merchich,4261,7012,31,146,47
Massawa,4262,7004,639,405,60
Minna,4263,7012,-92,-93,122
Mhast,4264,7022,-252.95,-4.11,-96.38
M'poraloko,4266,7011,-74,-130,42
NAD27 CONUS,4267,7008,-8,160,176
NAD83,4269,7019,0,0,0
Nahrwan 1967,4270,7012,-249,-156,381
Naparima BWI,4271,7022,-2,374,172
Geodetic Datum 1949,4272,7022,84,-22,209
NZGD1949,4272,7022,84,-22,209
NGO1948,4273,7005,315,-217,528
Datum 73,4274,7022,-223.237,110.193,36.649
NTF France,4275,7011,-168,-60,320
Ord Srvy Grt Britn,4277,7001,375,-111,431
Israeli,4281,7010,-235,-85,264
Pointe Noire,4282,7011,-148,51,-291
Australian Geocentric 1994 (GDA94),4283,7019,0,0,0
Pulkovo 1942 (1),4284,7024,28,-130,-95
Qatar National,4285,7022,-128,-283,22
Qornoq,4287,7022,164,138,-189
Rijksdriehoeksmeting,4289,7004,593,26,478
South American 1969,4291,7036,-57,1,-41
Sapper Hill 1943,4292,7022,-355,16,74
Schwarzeck,4293,7046,616,97,-251
Tananarive,4297,7022,-189,-242,-91
Timbalai 1948,4298,7015,-689,691,-46
Ireland 1965,4299,7002,506,-122,611
Tokyo,4301,7004,-128,481,664
Voirol 1875,4304,7011,-73,-247,227
Yacare,4309,7022,-155,171,37
Yoff,4310,7011,-30,190,89
Zanderij,4311,7022,-265,120,-358
Austrian,4312,7004,594,84,471
Potsdam Rauenberg DHDN,4314,7004,606,23,413
Conakry 1905,4315,7011,-23,259,-9
NGN,4318,7030,-3.2,-5.7,2.8
KUDAMS,4319,7019,-20.8,11.3,2.4
WGS 72,4322,7043,0,0,5
WGS 84,4326,7030,0,0,0
RGSPM06,4463,7019,0,0,0
RGM04,4470,7019,0,0,0
Cadastre 1997,4475,7022,-381.788,-57.501,-256.673
Mexico ITRF92,4483,7019,0,0,0
RRAF 1991,4558,7019,0,0,0
Antigua 1943,4601,7012,-255,-15,71
Dominica 1945,4602,7012,725,685,536
Grenada 1953,4603,7012,72,213.7,93
Montserrat 1958,4604,7012,174,359,365
St. Kitts 1955,4605,7012,9,183,236
St. Lucia 1955,4606,7012,-149,128,296
St. Vincent 1945,4607,7012,195.671,332.517,274.607
JGD2000,4612,7019,0,0,0
Segara,4613,7004,-403,684,41
Southeast Base,4615,7022,-499,-249,314
Marco Astro,4616,7022,-289,-124,60
NAD83(CSRS),4617,7019,0,0,0
SAD69,4618,7050,-66.87,4.37,-38.52
SWEREF99,4619,7019,0,0,0
Fort Marigot,4621,7022,137,248,-430
Guadeloupe 1948,4622,7022,-467,-16,-300
CSG67,4623,7022,-186,230,110
RGFG95,4624,7019,0,0,0
Martinique 1938,4625,7022,186,482,151
Reunion,4626,7022,94,-948,-1262
RGR92,4627,7019,0,0,0
Tahiti 52,4628,7022,162,117,154
IGN72 Nuku Hiva,4630,7022,84,274,65
K0 1949,4631,7022,145,-187,103
Combani 1950,4632,7022,-382,-59,-262
IGN56 Lifou,4633,7022,335.47,222.58,-230.94
IGN72 Grand Terre,4634,7022,-13,-348,292
Saint Pierre et Miquelon 1950,4638,7008,30,430,368
MOP78,4639,7022,253,-132,-127
RRAF 1991,4640,7030,0,0,0
IGN53 Mare,4641,7022,287.58,177.78,-135.41
ST84 Ile des Pins,4642,7022,-13,-348,292
NEA74 Noumea,4644,7022,-10.18,-350.43,291.37
RGNC 1991,4645,7022,0,0,0
Grand Comoros,4646,7022,-963,510,-359
Hjorsey 1955,4658,7022,-73,46,-86
ISN93,4659,7019,0,0,0
LKS92,4661,7019,0,0,0
IGN72 Grande Terre,4662,7022,-11.64,-348.6,291.98
Porto Santo 1995,4663,7022,-502.862,-247.438,312.724
Azores Oriental 1995,4664,7022,-204.619,140.176,55.226
Azores Central 1995,4665,7022,-106.226,166.366,-37.893
European 1979,4668,7022,-86,-98,-119
LKS94,4669,7019,0,0,0
IGM95,4670,7030,0,0,0
Chatham 1971,4672,7022,175,-38,113
SIRGAS 2000,4674,7019,0,0,0
Guam 1963,4675,7008,-100,-248,259
Indian Bangladesh,4682,7015,289,734,257
MAGNA-SIRGAS,4686,7019,0,0,0
Maupiti 83,4692,7022,217.037,86.959,23.956
Nakhl-e Ghanem,4693,7030,0,-0.15,0.68
POSGAR 94,4694,7030,0,0,0
Katanga 1955,4695,7008,-103.746,-9.614,-255.95
Kerguelen Island,4698,7022,145,-187,103
Le Pouce 1934,4699,7012,-770.1,158.4,-498.2
IGCB 1955,4701,7012,-79.9,-158,-168.9
Mauritania 1999,4702,7019,0,0,0
Egypt Gulf of Suez S-650 TL,4706,7020,-146.21,112.63,4.05
Astro B4 Sorol Atoll,4707,7022,114,-116,-333
Anna 1 Astro 1965,4708,7003,-491,-22,435
Astro Beacon 1945,4709,7022,145,75,-272
Astro DOS 71/4,4710,7022,-320,550,-494
Astronomic Stn 1952,4711,7022,124,-234,-25
Ascension Island 1958,4712,7022,-207,107,52
Bellevue (IGN),4714,7022,-127,-769,472
Canton Astro 1966,4716,7022,298,-304,-375
Cape Canaveral,4717,7008,-2,150,181
GUX 1 Astro,4718,7022,252,-209,-751
Easter Island 1967,4719,7022,211,147,111
Fiji 1956,4721,7022,265.025,384.929,-194.046
ISTS 073 Astro 1969,4724,7022,208,-435,-229
Johnston Island,4725,7022,191,-77,-204
L.C. 5 Astro,4726,7008,42,124,147
Midway Astro 1961,4727,7022,912,-58,1227
Pico De Las Nieves,4728,7022,-307,-92,127
Pitcairn Astro 1967,4729,7022,185,165,42
Santo (DOS),4730,7022,170,42,84
Viti Levu 1916,4731,7012,51,391,-36
Wake-Eniwetok 1960,4732,7053,101,52,-39
Tristan Astro 1968,4734,7022,-632,438,-609
Korea 2000,4737,7019,0,0,0
Hong Kong 1963,4739,7022,-156,-271,-189
Karbala 1979,4743,7012,70.995,-335.916,262.898
Nahrwan 1934,4744,7012,-242.2,-144.9,370.3
GR96,4747,7019,0,0,0
RGNC91-93,4749,7019,0,0,0
ST87 Ouvea,4750,7030,-56.263,16.136,-22.856
LGD2006,4754,7022,-208.4058,-109.8777,-2.5764
DGN95,4755,7030,0,0,0
JAD2001,4758,7030,0,0,0
NAD83(NSRS2007),4759,7019,0,0,0
HTRS96,4761,7019,0,0,0
BDA2000,4762,7030,0,0,0
Pitcairn 2006,4763,7030,0,0,0
RSRGD2000,4764,7019,0,0,0
Slovenia 1996,4765,7019,0,0,0
Lisbon (Lisbon),4803,7022,-304.046,-60.576,103.64
MGI (Ferro),4805,7004,682,-203,480
Rome 1940,4806,7022,-225,-65,9
NTF (Paris),4807,7011,-168,-60,320
Norsk,4817,7005,278,93,474
PTRA08,5013,7019,0,0,0
TUREF,5252,7019,0,0,0
DRUKREF 03,5264,7019,0,0,0
ISN2004,5324,7019,0,0,0
POSGAR 2007,5340,7019,0,0,0
MARGEN,5354,7019,0,0,0
SIRGAS-Chile,5360,7019,0,0,0
CR05,5365,7030,0,0,0
Peru96,5373,7019,0,0,0
SIRGAS-ROU98,5381,7030,0,0,0
Ocotepeque 1935,5451,7008,205,96,-98
RGAF09,5489,7019,0,0,0
SAD69(96),5527,7050,-67.35,3.88,-38.22
PNG94,5546,7019,0,0,0
FEH2010,5593,7019,0,0,0
CIGD11,6135,7019,0,0,0
Mexico ITRF2008,6365,7019,0,0,0
RDN2008,6706,7019,0,0,0
South East Island 1943,6892,7012,-43.685,-179.785,-267.721
ONGD14,7373,7019,0,0,0
St. Helena Tritan,7881,7030,-0.077,0.079,0.086
SHGD2015,7886,7019,0,0,0
DOS 1968,,7022,230,-199,-752
Egypt,,7022,-130,-117,-151
European 1950 (Mean France),,7022,-87,-96,-120
European 1950 (Spain and Portugal),,7022,-84,-107,-120
Luzon Mindanao,,7008,-133,-79,-72
NAD27 Alaska,,7008,-5,135,172
NAD27 Bahamas,,7008,-4,154,178
NAD27 Canada,,7008,-10,158,187
NAD27 Canal Zone,,7008,0,125,201
NAD27 Caribbean,,7008,-3,142,183
NAD27 Central,,7008,0,125,194
NAD27 Cuba,,7008,-9,152,178
NAD27 Greenland,,7008,11,114,195
NAD27 Mexico,,7008,-12,130,190
NAD27 San Salvador,,7008,1,140,165
Nahrwn Masirah Ilnd,,7012,-247,-148,369
Nahrwn Saudi Arbia,,7012,-231,-196,482
Nahrwn United Arab,,7012,-249,-156,381
Pulkovo 1942 (2),,7024,28,-130,-95
